betweenness,weighted_betweenness,degree,weighted-degree,edges,in_backbone_PLAM,in_backbone_PMFG,in_backbone_MB,in_backbone_UMB,in_backbone_HB,in_backbone_HSS,source,target,weight,in_backbone_MSP,in_backbone_DS
0.0029774369827477,0.0155175454064538,20,5994.0,1-2,False,True,False,False,False,False,1,2,5.0,False,True
0.0034136295887026,0.0,75,20868.0,1-3,True,True,True,True,True,False,1,3,31.0,True,True
0.0111930258105875,0.0166343384470698,90,9472.0,1-13,False,False,False,False,False,False,1,13,4.0,False,True
0.0057867349679666,0.0170457885146652,70,10804.0,1-27,False,False,False,False,False,False,1,27,4.0,False,True
0.0043929737458215,0.0,130,32708.0,1-60,False,True,True,False,False,True,1,60,30.0,False,True
0.0026534454374237,0.0,60,22842.0,2-3,True,True,True,True,True,False,2,3,43.0,True,True
0.0002351143243402,0.0033503791218479,12,1944.0,2-6,False,True,False,False,False,False,2,6,8.0,False,True
0.012943149202705,0.0,104,35802.0,2-60,False,True,True,False,False,False,2,60,25.0,False,True
0.0088774124834784,0.0024687004055722,30,3102.0,3-4,True,True,True,True,False,True,3,4,6.0,True,True
0.0054758697929642,0.0,75,21150.0,3-5,True,True,True,True,True,True,3,5,34.0,True,True
0.0029956556437521,0.0017633574325515,45,6768.0,3-6,True,True,True,True,False,True,3,6,12.0,True,True
0.0027379348964821,0.0,60,19458.0,3-7,True,True,True,True,True,True,3,7,36.0,True,True
0.0044708095350108,0.0249808969611473,90,10434.0,3-8,False,True,False,False,False,False,3,8,6.0,False,True
0.0028394253134157,0.0019984717568917,180,45120.0,3-9,False,True,False,False,False,False,3,9,10.0,False,True
0.0031141178154264,0.0250102862516898,75,16638.0,10-3,False,False,False,False,False,False,3,10,5.0,False,False
0.0171864246697349,0.0068477046964086,210,41172.0,27-3,False,False,True,False,False,False,3,27,13.0,False,False
0.0091790356139677,0.0078469405748545,210,97008.0,3-58,False,True,True,False,False,False,3,58,11.0,False,True
0.0058202975988797,0.0,390,124644.0,3-60,True,True,True,True,True,False,3,60,52.0,True,True
0.006055806241271,0.0186915887850467,60,35250.0,3-64,False,True,True,False,False,False,3,64,11.0,False,True
