betweenness,weighted_betweenness,degree,weighted-degree,edges,in_backbone_PLAM,in_backbone_PMFG,in_backbone_MB,in_backbone_UMB,in_backbone_HB,in_backbone_HSS,source,target,weight,in_backbone_MSP,in_backbone_DS
0.0220866466064819,0.0152921555095468,24,66.0,1-2,True,True,True,True,False,True,1,2,2.0,True,True
0.0051182371874718,0.0042110177404295,16,30.0,1-6,False,False,True,False,False,False,1,6,1.0,False,True
0.0059604986925965,0.0008116708841346,28,48.0,1-8,False,True,True,False,False,True,1,8,1.0,False,True
0.008235264046574,0.0085567238167408,12,42.0,1-53,False,True,True,True,False,True,1,53,2.0,True,True
0.0521906555405433,0.048886901067784,36,99.0,11-2,True,True,True,True,False,True,2,11,2.0,True,False
0.0125884000361208,0.0330667532713565,24,187.0,17-2,False,False,True,False,False,False,2,17,1.0,False,False
0.0045841303078108,0.0038110574342458,12,55.0,19-2,True,True,True,True,False,True,2,19,3.0,True,False
0.045952103187549,0.0892822413268114,36,110.0,2-29,False,True,True,False,True,True,2,29,1.0,False,True
0.1395848063639592,0.1924525787965308,36,110.0,2-215,True,False,True,True,True,True,2,215,2.0,True,True
0.0005235923691617,0.0002966323405368,36,125.0,10-6,True,True,True,True,False,True,6,10,2.0,True,False
0.001192256735615,0.0004006369053257,36,105.0,13-6,False,False,True,False,False,False,6,13,1.0,False,False
0.0003530020465814,0.0003802374411922,36,70.0,32-6,False,False,True,False,False,False,6,32,1.0,False,False
0.001933664503227,0.011305667194414,35,72.0,8-9,False,True,False,False,False,False,8,9,1.0,False,True
0.0023321411598603,0.0150095400479034,63,168.0,13-8,False,True,False,False,False,False,8,13,1.0,False,False
0.0043478260869565,0.0043478260869565,7,8.0,16-8,True,True,True,True,False,True,8,16,1.0,True,False
0.0061015943781316,0.0447827730065661,42,80.0,29-8,False,True,True,False,False,False,8,29,1.0,False,False
0.0003494662207657,0.0103137003533497,63,112.0,32-8,False,False,True,False,False,False,8,32,1.0,False,False
0.0001460345276059,0.0021013703387957,28,120.0,56-8,True,True,True,True,False,False,8,56,2.0,True,False
0.0006087588014271,0.0001199835811941,15,84.0,26-53,True,True,True,True,False,False,53,26,4.0,True,False
