betweenness,weighted_betweenness,degree,weighted-degree,edges,in_backbone_PLAM,in_backbone_PMFG,in_backbone_MB,in_backbone_UMB,in_backbone_HB,in_backbone_HSS,source,target,weight,in_backbone_MSP,in_backbone_DS
3.5559184645958445e-05,0.0,41984,1592892.0,1-2,False,False,False,False,False,False,1,2,8.0,False,True
3.75683166420615e-05,0.0,35840,1825446.0,1-3,False,False,False,False,False,False,1,3,7.0,False,True
3.1546787928166126e-05,0.0,59648,5492802.0,1-4,False,False,False,False,False,False,1,4,7.0,False,True
3.134939884715912e-05,0.0,65792,6377742.0,1-5,False,False,False,False,False,False,1,5,8.0,False,True
4.074126928583711e-05,3.2734523334213763e-06,38656,1574370.0,1-6,False,False,False,False,False,False,1,6,2.0,False,False
4.415078070205031e-05,0.0,37120,2078580.0,1-7,False,False,False,False,False,False,1,7,5.0,False,True
0.0001041405877239,0.0,10240,218148.0,1-8,False,False,False,False,False,False,1,8,3.0,False,True
3.99452181100167e-05,0.0,78848,10557540.0,1-9,False,False,False,False,False,False,1,9,20.0,False,True
4.14955786328112e-05,0.0,32000,1144248.0,1-10,False,False,False,False,False,False,1,10,4.0,False,True
2.9265149393108363e-05,0.0,55040,4883634.0,1-11,False,False,False,False,False,False,1,11,4.0,False,False
4.9577493084248735e-05,0.0,28160,1343874.0,1-12,False,False,False,False,False,False,1,12,7.0,False,True
3.223853405048206e-05,0.0,67584,7200942.0,1-13,False,False,False,False,False,False,1,13,7.0,False,True
3.815445115863567e-05,5.221589362546405e-06,38656,2066232.0,1-14,False,False,False,False,False,False,1,14,2.0,False,False
3.344583297561329e-05,0.0,50176,3066420.0,1-15,False,False,False,False,False,False,1,15,4.0,False,False
4.663829615207523e-05,0.0,97536,20079906.0,1-16,False,False,False,False,False,False,1,16,31.0,False,True
7.797792235176773e-05,0.0003201811812387,15104,479514.0,1-17,False,False,False,False,False,False,1,17,1.0,False,False
