betweenness,weighted_betweenness,degree,weighted-degree,edges,in_backbone_PLAM,in_backbone_PMFG,in_backbone_MB,in_backbone_UMB,in_backbone_HB,in_backbone_HSS,source,target,weight,in_backbone_MSP,in_backbone_DS
0.0022686172686172,0.0,742,672364.0,1-2,False,False,False,False,False,False,1,2,42.0,False,True
0.0017631883289778,0.0,602,373352.0,1-3,False,False,False,False,False,False,1,3,4.0,False,True
0.0011267051267051,0.0011438711438711,350,104784.0,1-4,False,False,False,False,False,False,1,4,2.0,False,False
0.0015158423393717,0.0,560,424328.0,1-5,False,False,True,False,False,False,1,5,56.0,False,True
0.0029486609486609,0.0119652329652329,812,527696.0,1-6,False,False,False,False,False,False,1,6,1.0,False,False
0.0019010939010939,0.0014633204633204,630,354236.0,1-7,False,False,False,False,False,False,1,7,2.0,False,False
0.0024361776861776,0.0104163124163124,686,260780.0,1-8,False,False,False,False,False,False,1,8,1.0,False,False
0.0009277229277229,0.0,336,37996.0,1-9,False,False,False,False,False,False,1,9,12.0,False,True
0.0029277049277049,0.0182313562313562,854,349280.0,1-10,False,False,False,False,False,False,1,10,1.0,False,False
0.0020865163365163,0.0,574,262668.0,1-11,False,False,False,False,False,False,1,11,7.0,False,True
0.0021315873815873,0.0,630,315060.0,1-12,False,True,False,False,False,False,1,12,12.0,False,True
0.0011884455042349,0.0,322,86612.0,1-13,True,True,True,True,False,False,1,13,62.0,True,True
0.002092441092441,0.0,700,482620.0,1-14,False,False,False,False,False,False,1,14,27.0,False,False
0.0019561787797081,0.0,672,456424.0,1-15,False,False,False,False,False,False,1,15,7.0,False,False
0.0007900302558197,0.0,2279,4507118.0,2-3,False,True,True,False,True,False,2,3,156.0,False,True
0.00091855166592,0.0,3021,6008541.0,16-2,False,False,False,False,False,False,2,16,49.0,False,False
0.0007477192792982,0.0,2968,10527055.0,17-2,False,False,True,False,False,False,2,17,57.0,False,False
0.0013761511650864,0.0,1325,1264956.0,2-4,False,False,False,False,False,False,2,4,16.0,False,False
0.0027884211489117,0.0009249249249249,689,179487.0,18-2,False,False,False,False,False,False,2,18,2.0,False,False
0.0009208387008002,0.0,2385,1962961.0,19-2,False,False,False,False,False,False,2,19,3.0,False,False
0.0010111070422025,0.0,2279,3643871.0,2-20,False,False,True,False,False,False,2,20,76.0,False,False
0.0012352808943108,0.0,1590,3062675.0,2-21,False,False,False,False,False,False,2,21,47.0,False,False
0.0015733384109029,0.0,1166,1045583.0,2-22,False,False,False,False,False,False,2,22,3.0,False,False
0.0016927258691964,0.0,954,871794.0,2-23,False,True,False,False,False,False,2,23,31.0,False,False
0.0009801274584154,0.0,2544,3495723.0,2-24,False,False,False,False,False,False,2,24,11.0,False,False
0.0009295661107614,0.0,2120,5122502.0,2-5,True,True,True,True,True,False,2,5,359.0,True,True
0.0017834506462989,0.0,1007,424501.0,2-25,False,False,False,False,False,False,2,25,22.0,False,False
0.0010026598422883,0.0,3074,6370364.0,2-6,False,False,False,False,False,False,2,6,32.0,False,True
0.0028821678821678,0.0,530,823361.0,2-26,False,False,False,False,False,False,2,26,8.0,False,False
0.0009469214795146,0.0,2385,4276349.0,2-7,False,False,False,False,False,False,2,7,7.0,False,False
0.0037429852084134,0.0,477,131054.0,2-27,True,True,True,True,False,True,2,27,22.0,True,True
0.0009470136835461,0.0092691705565578,2279,2173787.0,2-28,False,False,False,False,False,False,2,28,1.0,False,False
0.00098306220396,0.0,2597,3148145.0,2-8,False,False,True,False,False,False,2,8,45.0,False,True
0.0009361996148373,0.0001441441441441,2597,8917370.0,2-29,False,False,False,False,False,False,2,29,3.0,False,False
0.0012717105503483,0.0,1272,458689.0,2-9,False,True,False,False,False,False,2,9,13.0,False,False
0.0008085575068031,0.0,2968,11615373.0,2-30,False,False,False,False,False,False,2,30,13.0,False,False
0.0009569745800001,0.0,2173,5911675.0,2-31,True,True,True,True,True,False,2,31,361.0,True,False
