betweenness,weighted_betweenness,degree,weighted-degree,edges,in_backbone_PLAM,in_backbone_PMFG,in_backbone_MB,in_backbone_UMB,in_backbone_HB,in_backbone_HSS,source,target,weight,in_backbone_MSP,in_backbone_DS
0.0008189305965444,0.0,4189,298775.0,1-2,False,True,True,False,True,False,1,2,39.0,False,True
0.0012148246849906,0.0,472,20757.0,1-3,False,True,True,False,False,False,1,3,11.0,False,True
0.0015961418442733,0.0,5428,874310.0,1-4,False,False,False,False,False,False,1,4,4.0,False,True
0.0037695056631646,0.0,8732,1337254.0,1-5,False,True,True,True,True,True,1,5,112.0,True,True
0.0010083398793778,0.0,4484,409479.0,1-6,False,False,False,False,False,False,1,6,19.0,False,True
0.0014243735297104,0.0,2714,96237.0,1-7,False,False,False,False,False,False,1,7,4.0,False,True
0.0006732576370037,0.0,3186,350982.0,1-8,False,False,False,False,False,False,1,8,3.0,False,True
0.0015542463805391,0.0,4838,220779.0,1-9,False,False,False,False,False,False,1,9,12.0,False,True
0.0018754152823008,0.0,5959,613275.0,1-10,False,False,False,False,False,False,1,10,35.0,False,True
0.0013248659150407,0.0,5428,345321.0,1-11,False,False,False,False,False,False,1,11,22.0,False,True
0.0012223742690874,0.0,3304,184297.0,1-12,False,False,False,False,False,False,1,12,9.0,False,True
0.000704006232182,0.0,3245,262293.0,1-13,False,False,False,False,False,False,1,13,5.0,False,True
0.0006268530574873,0.0001133423137397,944,20128.0,1-14,False,False,False,False,False,False,1,14,2.0,False,True
0.0035397968829522,0.0,5428,288082.0,1-15,False,False,False,False,False,False,1,15,12.0,False,True
0.0030592297055908,7.747502920212639e-06,3894,174233.0,1-16,False,False,False,False,False,False,1,16,3.0,False,True
0.0012068101952888,0.0001362488158818,2360,62900.0,1-17,False,False,False,False,False,False,1,17,2.0,False,True
0.0005543151460454,6.945043484297488e-05,1652,38369.0,1-18,False,False,False,False,False,False,1,18,2.0,False,True
0.000627469277088,0.0,2714,107559.0,1-19,False,False,False,False,False,False,1,19,12.0,False,True
0.0005290947890204,0.0018490352014388,1652,32079.0,1-20,False,False,False,False,False,False,1,20,1.0,False,True
0.0018324354736997,0.002649280414042,3658,296888.0,1-21,False,False,False,False,False,False,1,21,1.0,False,True
0.0004938709346454,2.92420556312425e-05,1770,81770.0,1-22,False,False,False,False,False,False,1,22,2.0,False,True
0.0005498664647485,0.0022163347218747,1298,50949.0,1-23,False,False,False,False,False,False,1,23,1.0,False,True
0.000479142324569,0.0013783399907741,1475,42143.0,1-24,False,False,False,False,False,False,1,24,1.0,False,True
0.0009669720804562,0.0015804237870338,1357,40885.0,1-25,False,False,False,False,False,False,1,25,1.0,False,True
0.0011893235225601,0.0,2655,93092.0,1-26,False,True,False,False,False,False,1,26,13.0,False,True
0.0006525157786792,0.0,3186,584970.0,1-27,False,False,False,False,False,False,1,27,7.0,False,True
0.0001783939874091,0.0,2714,235875.0,1-28,True,True,True,True,True,True,1,28,144.0,True,True
0.0004834736531962,0.0,2065,53465.0,1-29,False,False,False,False,False,False,1,29,5.0,False,True
0.0011995255797753,0.0001451236618765,413,6290.0,1-30,True,True,True,True,False,False,1,30,2.0,True,True
0.0028138896914523,0.0018542579200543,354,4403.0,1-31,False,False,False,False,False,False,1,31,1.0,False,True
0.0026207579600468,0.0001340053895412,295,4403.0,1-32,True,True,True,True,False,True,1,32,2.0,True,True
0.0007909654917342,0.0024316382863686,1003,21386.0,1-33,False,False,False,False,False,False,1,33,1.0,False,True
0.0005771884473748,0.0,1003,35853.0,1-34,True,True,True,True,False,True,1,34,10.0,True,True
0.0006674585480372,0.0001026342320655,885,22015.0,1-35,False,False,False,False,False,False,1,35,2.0,False,True
0.0004043133985607,0.0,2596,81141.0,1-36,False,False,False,False,False,False,1,36,7.0,False,True
0.0016931542783471,9.089835843751316e-05,767,12580.0,1-37,False,False,False,False,False,False,1,37,2.0,False,True
0.0017609106270337,0.0004053047615177,177,3145.0,1-38,True,True,True,True,False,True,1,38,2.0,True,True
0.0017431038959983,0.0013440454796568,354,4403.0,1-39,False,False,False,False,False,False,1,39,1.0,False,True
0.0006006564180784,1.0945066995270816e-05,767,32708.0,1-40,False,False,False,False,False,False,1,40,3.0,False,True
0.0005165870282643,0.0030023705831754,1711,32079.0,1-41,False,False,False,False,False,False,1,41,1.0,False,True
0.0004299625053002,5.170957018583042e-05,1062,23902.0,1-42,False,False,False,False,False,False,1,42,2.0,False,True
0.0008488867626894,0.0,2832,84286.0,1-43,False,False,False,False,False,False,1,43,3.0,False,True
0.0006055017833249,8.257162504057425e-05,1003,22015.0,1-44,False,False,False,False,False,False,1,44,2.0,False,True
0.000469345834477,0.0,826,31450.0,1-45,True,True,True,True,False,True,1,45,23.0,True,True
0.0015148286484816,0.0,472,16354.0,1-46,True,True,True,True,False,True,1,46,9.0,True,True
0.0017425334519624,0.0,472,46546.0,1-47,True,True,True,True,True,True,1,47,39.0,True,True
0.0006312644632782,0.0,885,15096.0,1-48,False,False,False,False,False,False,1,48,3.0,False,True
0.001562265228184,0.0020303605020865,531,11322.0,1-49,False,False,False,False,False,False,1,49,1.0,False,True
0.0016010429175753,6.827643451001226e-05,354,4403.0,1-50,True,True,True,True,False,True,1,50,2.0,True,True
0.0006588977986285,0.0019969618007892,1475,23902.0,1-51,False,False,False,False,False,False,1,51,1.0,False,True
0.0006787352898314,7.366914951124348e-05,826,18241.0,1-52,False,False,False,False,False,False,1,52,2.0,False,True
0.0013405291737104,0.0,1298,35853.0,1-53,False,False,False,False,False,False,1,53,4.0,False,True
0.0004489989134433,6.790060947209754e-05,1298,65416.0,1-54,False,False,False,False,False,False,1,54,2.0,False,True
0.0005756863579837,0.0,1416,24531.0,1-55,False,False,False,False,False,False,1,55,3.0,False,True
0.0064540758910099,0.0043296066158909,177,1887.0,1-56,True,True,True,True,False,True,1,56,1.0,True,True
0.0015890181024804,6.271788078267375e-05,236,6290.0,1-57,False,True,False,False,False,False,1,57,3.0,False,True
0.003018099353676,0.0,236,6290.0,1-58,True,True,True,True,False,True,1,58,5.0,True,True
0.0046233455666983,0.0027756651423083,177,1887.0,1-59,True,False,True,True,False,True,1,59,1.0,True,True
0.001510921604297,0.0,295,10693.0,1-60,True,True,True,True,False,True,1,60,5.0,True,True
0.0017188989153292,0.0,568,15675.0,2-3,True,True,True,True,False,True,2,3,14.0,True,True
0.0007958437460369,0.0,6532,660250.0,2-4,True,True,True,True,True,False,2,4,48.0,True,True
0.0016600407544507,0.0,10508,1009850.0,2-5,False,True,False,False,False,False,2,5,13.0,False,True
0.0005248619205895,5.5431175935066576e-05,5396,309225.0,2-6,False,False,False,False,False,False,2,6,2.0,False,True
0.0011545343795974,0.0,3266,72675.0,2-7,False,False,False,False,False,False,2,7,3.0,False,True
0.0005824879947661,0.0,3834,265050.0,2-8,False,True,False,False,False,False,2,8,17.0,False,True
0.0007741975938333,0.0,5822,166725.0,2-9,False,False,False,False,False,False,2,9,5.0,False,True
0.0006351733428077,0.0,7171,463125.0,10-2,False,True,True,False,True,False,2,10,43.0,False,False
0.0005424368642237,0.0,6532,260775.0,11-2,False,False,False,False,False,False,2,11,16.0,False,False
0.000611358084842,0.0,3976,139175.0,12-2,False,False,False,False,False,False,2,12,12.0,False,False
