betweenness,weighted_betweenness,degree,weighted-degree,edges,in_backbone_PLAM,in_backbone_PMFG,in_backbone_MB,in_backbone_UMB,in_backbone_HB,in_backbone_HSS,source,target,weight,in_backbone_MSP,in_backbone_DS
9.743378674537698e-05,0.0001105385970049,24700,153408.0,1-2,False,False,False,False,False,False,1,2,2.0,False,True
2.0474866092750443e-05,3.442252722533644e-05,16640,72896.0,1-3,False,False,False,False,False,False,1,3,2.0,False,True
6.948926100357923e-05,9.502508420499276e-05,19760,97920.0,1-4,False,False,False,False,False,False,1,4,2.0,False,True
3.935914943497065e-05,4.977844321803122e-05,17810,97920.0,1-5,False,False,False,False,False,False,1,5,2.0,False,True
4.219542110761974e-05,6.006439241106706e-05,22230,127296.0,1-6,False,False,False,False,False,False,1,6,2.0,False,True
2.0474866092750443e-05,3.442252722533644e-05,16640,72896.0,1-7,False,False,False,False,False,False,1,7,2.0,False,True
8.482316220327768e-05,7.726441283467771e-05,18460,97920.0,1-8,False,False,False,False,False,False,1,8,2.0,False,True
2.0474866092750443e-05,3.4760667870434954e-05,16640,74528.0,1-9,False,False,False,False,False,False,1,9,2.0,False,True
2.782114233034663e-05,4.991398637778495e-05,17030,77248.0,1-10,False,False,False,False,False,False,1,10,2.0,False,True
2.0474866092750443e-05,3.442252722533644e-05,16640,72896.0,1-11,False,True,False,False,False,False,1,11,2.0,False,False
2.0474866092750443e-05,3.442252722533644e-05,16640,72896.0,1-12,False,False,False,False,False,False,1,12,2.0,False,False
3.7732550093858544e-05,7.331671976051307e-05,18070,88672.0,1-13,False,False,False,False,False,False,1,13,2.0,False,False
2.0474866092750443e-05,3.442252722533644e-05,16640,72896.0,1-14,False,False,False,False,False,False,1,14,2.0,False,False
3.19051060709994e-05,6.54680119558765e-05,17290,75616.0,1-15,False,False,False,False,False,False,1,15,2.0,False,False
7.566418133062574e-05,0.0001080491604181,23010,139808.0,1-16,False,False,False,False,False,False,1,16,2.0,False,False
2.0474866092750443e-05,3.442252722533644e-05,16640,72896.0,1-17,False,False,False,False,False,False,1,17,2.0,False,False
2.1338968503800505e-05,3.50020702466717e-05,16900,75616.0,1-18,False,False,False,False,False,False,1,18,2.0,False,False
2.047486609275045e-05,3.442252722533644e-05,16640,72896.0,1-19,False,False,False,False,False,False,1,19,2.0,False,False
2.8840540914418364e-05,3.442252722533644e-05,16770,77792.0,1-20,False,False,False,False,False,False,1,20,2.0,False,False
2.047486609275045e-05,3.442252722533644e-05,16640,72896.0,1-21,False,False,False,False,False,False,1,21,2.0,False,False
0.0001190190347983,0.0001584059879696,20410,97920.0,1-22,False,False,False,False,False,False,1,22,2.0,False,False
4.7780297262991e-05,6.549148225242267e-05,22490,130016.0,1-23,False,False,False,False,False,False,1,23,2.0,False,False
6.450355176869982e-05,8.493130742513425e-05,23010,138720.0,1-24,False,False,False,False,False,False,1,24,2.0,False,False
3.1361231725780715e-05,4.917576637508623e-05,17420,93024.0,1-25,False,False,False,False,False,False,1,25,2.0,False,False
5.260488929189077e-05,6.763525745874249e-05,19110,91936.0,1-26,False,False,False,False,False,False,1,26,2.0,False,False
3.243146740555757e-05,4.430676406498658e-05,17550,82144.0,1-27,False,False,False,False,False,False,1,27,2.0,False,False
2.0474866092750453e-05,3.4760667870434954e-05,16640,74528.0,1-28,False,False,False,False,False,False,1,28,2.0,False,False
4.46769870082196e-05,4.865567531133516e-05,18070,97920.0,1-29,False,False,False,False,False,False,1,29,2.0,False,False
6.575971582854282e-05,8.023710338009109e-05,17550,84320.0,1-30,False,False,False,False,False,False,1,30,2.0,False,False
4.219542110761974e-05,5.891619754016927e-05,22230,180608.0,1-31,False,False,False,False,False,False,1,31,2.0,False,False
2.0474866092750453e-05,3.442252722533643e-05,16640,72896.0,1-32,False,False,False,False,False,False,1,32,2.0,False,False
4.340593388868181e-05,6.371075798968062e-05,22360,128928.0,1-33,False,False,False,False,False,False,1,33,2.0,False,False
7.452386611214616e-05,7.583471329174684e-05,23400,199104.0,1-34,False,False,False,False,False,False,1,34,2.0,False,False
4.125290794327973e-05,6.673746580577348e-05,17550,91936.0,1-35,False,False,False,False,False,False,1,35,2.0,False,False
8.043728358609069e-05,7.95345058223401e-05,24050,165376.0,1-36,False,False,False,False,False,False,1,36,2.0,False,False
4.219542110761974e-05,6.006439241106706e-05,22230,127296.0,1-37,False,False,False,False,False,False,1,37,2.0,False,False
2.250998369218993e-05,3.120318864409438e-05,16900,73984.0,1-38,False,False,False,False,False,False,1,38,2.0,False,False
2.0474866092750453e-05,3.442252722533644e-05,16640,72896.0,1-39,False,False,False,False,False,False,1,39,2.0,False,False
2.1146243722749963e-05,3.442252722533644e-05,16770,73984.0,1-40,False,False,False,False,False,False,1,40,2.0,False,False
3.941577003712352e-05,6.564941465459161e-05,17420,86496.0,1-41,False,False,False,False,False,False,1,41,2.0,False,False
4.739210066121003e-05,6.941548678602036e-05,17810,84320.0,1-42,False,False,False,False,False,False,1,42,2.0,False,False
3.777443754333452e-05,4.815384539849316e-05,17290,82144.0,1-43,False,False,False,False,False,False,1,43,2.0,False,False
9.462553166710652e-05,0.0001443419991702,23400,139808.0,1-44,False,False,False,False,False,False,1,44,2.0,False,False
0.0001007844170364,0.0001571975863825,18330,81600.0,1-45,False,False,False,False,False,False,1,45,2.0,False,False
4.924962117860559e-05,8.983387653241628e-05,17550,80512.0,1-46,False,False,False,False,False,False,1,46,2.0,False,False
5.329818311094301e-05,6.292194170237206e-05,23010,156672.0,1-47,False,False,False,False,False,False,1,47,2.0,False,False
6.491646669695301e-05,0.0001423685941163,18200,82144.0,1-48,False,False,False,False,False,False,1,48,2.0,False,False
6.633053768467548e-05,1.923300887093253e-05,24050,276896.0,1-49,False,False,True,False,False,False,1,49,4.0,False,False
4.38387623262522e-05,6.991231562059604e-05,18200,95744.0,1-50,False,False,False,False,False,False,1,50,2.0,False,False
3.3654679360180335e-05,3.856772636336897e-05,17550,86496.0,1-51,False,False,False,False,False,False,1,51,2.0,False,False
0.0004342675780782,0.0010925216308045,16770,181152.0,1-52,False,False,False,False,False,False,1,52,2.0,False,False
3.120192090291648e-05,4.442059675542191e-05,17290,82688.0,1-53,False,False,False,False,False,False,1,53,2.0,False,False
2.8869147592787348e-05,4.4941294580910686e-05,16900,73984.0,1-54,False,False,False,False,False,False,1,54,2.0,False,False
2.0474866092750453e-05,3.442252722533643e-05,16640,72896.0,1-55,False,False,False,False,False,False,1,55,2.0,False,False
2.0474866092750453e-05,3.476812793573053e-05,16640,74528.0,1-56,False,False,False,False,False,False,1,56,2.0,False,False
4.5993357507744896e-05,6.868370791711216e-05,22490,131648.0,1-57,False,False,False,False,False,False,1,57,2.0,False,False
3.81917559552426e-05,4.817198925667601e-05,17940,95200.0,1-58,False,False,False,False,False,False,1,58,2.0,False,False
2.427368614952835e-05,4.052110811865592e-05,17030,76160.0,1-59,False,False,False,False,False,False,1,59,2.0,False,False
2.2858603509405225e-05,3.814688209340722e-05,16770,76160.0,1-60,False,False,False,False,False,False,1,60,2.0,False,False
2.411169153719492e-05,3.620113569950986e-05,17030,81600.0,1-61,False,False,False,False,False,False,1,61,2.0,False,False
6.349445565084382e-05,6.02481925457608e-05,22620,136000.0,1-62,False,False,False,False,False,False,1,62,2.0,False,False
2.086364485136378e-05,3.8079175619199744e-05,16770,73440.0,1-63,False,False,False,False,False,False,1,63,2.0,False,False
9.18799232044134e-05,7.47942947026904e-05,24050,152864.0,1-64,False,False,False,False,False,False,1,64,2.0,False,False
0.0001870059698386,0.0002478943216911,21320,104992.0,1-65,False,False,False,False,False,False,1,65,2.0,False,False
4.1252907943279714e-05,6.673746580577348e-05,17550,91936.0,1-66,False,False,False,False,False,False,1,66,2.0,False,False
2.2210238124283752e-05,3.442252722533643e-05,17030,77792.0,1-67,False,False,False,False,False,False,1,67,2.0,False,False
4.583598761798504e-05,8.311627984459727e-05,18070,86496.0,1-68,False,False,False,False,False,False,1,68,2.0,False,False
0.0001063425693109,0.0001455672300872,24830,145248.0,1-69,False,False,False,False,False,False,1,69,2.0,False,False
5.652083467442553e-05,5.207003967885683e-05,18200,109344.0,1-70,False,False,False,False,False,False,1,70,2.0,False,False
2.0474866092750453e-05,3.442252722533643e-05,16640,72896.0,1-71,False,False,False,False,False,False,1,71,2.0,False,False
2.0474866092750453e-05,3.442252722533643e-05,16640,72896.0,1-72,False,False,False,False,False,False,1,72,2.0,False,False
6.285982945940867e-05,7.580223790593737e-05,17940,83232.0,1-73,False,False,False,False,False,False,1,73,2.0,False,False
7.904508051900886e-05,9.99894201196416e-05,23920,138176.0,1-74,False,False,False,False,False,False,1,74,2.0,False,False
2.0474866092750453e-05,3.442252722533643e-05,16640,72896.0,1-75,False,False,False,False,False,False,1,75,2.0,False,False
2.0474866092750453e-05,3.442252722533643e-05,16640,72896.0,1-76,False,False,False,False,False,False,1,76,2.0,False,False
2.0474866092750453e-05,3.442252722533643e-05,16640,72896.0,1-77,False,False,False,False,False,False,1,77,2.0,False,False
