source,target,gloss_alpha,betweenness,pf_alpha,ecm_alpha,nc_alpha,mlf_score,lans_alpha,weighted_betweenness,weight,df_alpha
1,2,1.0,0.0220866466064819,0.429966353287804,0.0029887109994888,3.0308047294091984e-08,4.0163412108891425e-06,0.0,0.0152921555095468,2.0,0.2962962962962963
1,6,5.85333e-15,0.0051182371874718,0.620480954481374,0.0095207309350371,3.3198607961582027e-06,0.0012887150439114122,0.25,0.0042110177404295,1.0,0.512
1,8,1.0,0.0059604986925965,0.656253126531164,0.0174394361674785,8.4900843898561e-06,0.0020611468241957037,0.1428571428571429,0.0008116708841346,1.0,0.4487953186035156
1,53,0.00303166,0.008235264046574,0.661830917080359,0.001584538957104,7.822503089727206e-09,1.6275708072529302e-06,0.0,0.0085567238167408,2.0,0.2962962962962963
2,11,0.9967,0.0521906555405433,0.620480954481374,0.0044962675310671,1.020723771061327e-07,9.028229978623453e-06,0.0,0.048886901067784,2.0,0.2846280207962879
2,17,4.58484e-13,0.0125884000361208,0.656253126531164,0.0078021138906478,0.0001278369592822,0.008005953613026768,0.5,0.0330667532713565,1.0,0.6209213230591552
2,19,0.338374,0.0045841303078108,0.608564804332358,0.0008728299289941,2.0737522810065908e-11,2.1978690795903483e-09,0.0,0.0038110574342458,3.0,0.2034634991400241
2,29,0.997583,0.045952103187549,0.608564804332358,0.01733941398561,4.4429641804177855e-05,0.004717175601334633,0.6666666666666667,0.0892822413268114,1.0,0.59049
2,215,0.997382,0.1395848063639592,0.620480954481374,0.0051378840580582,1.3991777636501726e-07,1.1142451950967874e-05,0.0,0.1924525787965308,2.0,0.3276799999999999
6,10,0.0394071,0.0005235923691617,0.294620924829927,0.0029642686713486,2.051186579477005e-07,1.4382316953031186e-05,0.0,0.0002966323405368,2.0,0.2159999999999999
6,13,0.0165143,0.001192256735615,0.323678958607755,0.0160752981901168,4.04939718391395e-05,0.004503242016658011,0.25,0.0004006369053257,1.0,0.512
6,32,0.00824885,0.0003530020465814,0.484990944936323,0.0211345236748456,1.803343008466296e-05,0.0030044189152364444,0.25,0.0003802374411922,1.0,0.512
8,9,0.0377079,0.001933664503227,0.484990944936323,0.0189955905079841,1.907644767051853e-05,0.003090126703076079,0.1428571428571429,0.011305667194414,1.0,0.4487953186035156
8,13,0.00447356,0.0023321411598603,0.484990944936323,0.0283229909837245,0.000103291366913,0.0071954481968158806,0.1428571428571429,0.0150095400479034,1.0,0.4487953186035156
8,16,1.0,0.0043478260869565,0.616493224529861,0.0059432103298604,2.363767553914542e-07,0.00034381984009845286,0.0,0.0043478260869565,1.0,0.4487953186035156
8,29,0.200344,0.0061015943781316,0.616493224529861,0.0241685640066862,2.354038183172147e-05,0.0034328841874869407,0.1428571428571429,0.0447827730065661,1.0,0.4487953186035156
8,32,0.916856,0.0003494662207657,0.616493224529861,0.0382122211158275,4.605467835083754e-05,0.004802736162866769,0.1428571428571429,0.0103137003533497,1.0,0.4487953186035156
8,56,0.19823,0.0001460345276059,0.537492514463495,0.0013031787239015,1.8153432979062245e-07,1.32566414585713e-05,0.0,0.0021013703387957,2.0,0.177978515625
53,26,0.140508,0.0006087588014271,0.537492514463495,0.0007535142940469,1.6253665080512294e-13,7.058140792068804e-12,0.0,0.0001199835811941,4.0,0.1836734693877549
53,54,1.0,0.0043478260869565,0.0363495725799219,0.0013163399416953,1.8098632359464522e-07,0.00030084882508727546,0.0,0.0043478260869565,1.0,0.7346938775510203
11,20,0.9967,0.0010713418965719,0.450378214007888,0.017921220511198,3.601068457548262e-05,0.004246461019861775,0.5,0.0044597884020452,1.0,0.5549289573066436
11,28,0.997796,0.007520755190547,0.535285055443112,0.0056148627772927,3.1320667381873335e-07,1.9076447670505848e-05,0.0,0.007753938934672,2.0,0.2846280207962879
11,31,0.998059,0.019502862084581,0.735828130875355,0.0350341163575649,9.60781501858632e-05,0.006939361574985949,0.5,0.0234039212691678,1.0,0.5549289573066436
11,32,0.998038,0.0160778269849265,0.544960872588435,0.0293118841946125,5.824124957098942e-05,0.005401454198124914,0.5,0.010561745742942,1.0,0.5527420857903421
11,56,3.11671e-12,0.0058436720212883,0.656253126531164,0.00297856121324,2.582240211657094e-07,1.6770730950995658e-05,0.0,0.0022464557481607,2.0,0.2846280207962879
17,3,0.427682,0.0024038735193215,0.412197365158977,0.0070677096955478,5.197058070005589e-05,0.005102140214322318,0.1666666666666666,0.0296093316553671,1.0,0.4626643660379604
17,4,6.36744e-13,0.0016333969858818,0.155857059734382,0.0018578142626211,4.1394776495451424e-11,5.959112670690689e-10,0.0,0.0,4.0,0.1555279890260632
17,10,1.96418e-09,0.0079589290192194,0.376609231560163,0.0002570842625573,0.0,1.8547041498542825e-27,0.0,0.0,11.0,0.0096717311574017
19,20,0.834274,0.0010032519016979,0.428083233660778,0.002073984593153,1.755181699980568e-08,2.79000483272137e-06,0.0,0.0005367686527106,2.0,0.3666478320532004
29,26,0.9969,0.00917635917655,0.537492514463495,0.0046836175024509,1.8153432979062245e-07,1.32566414585713e-05,0.0,0.0120978181932998,2.0,0.3276799999999999
29,32,0.997518,0.0162828643748886,0.524578254109603,0.0066625056788325,2.878985977394777e-07,1.8033430084647338e-05,0.0,0.0097903509169568,2.0,0.291357151790669
