source,target,gloss_alpha,betweenness,pf_alpha,ecm_alpha,nc_alpha,mlf_score,lans_alpha,weighted_betweenness,weight,df_alpha
1,2,0.999773,0.0071543221127952,0.785941677762963,0.0682208761572837,0.0087163998648236,0.06683634726487954,0.2857142857142857,0.0136553273043956,1.0,0.531441
1,3,2.20433e-21,0.0078293748836313,0.161604920473642,0.0046634473837912,2.269997660409029e-05,7.717043441891285e-05,0.0,0.0002454895001478,3.0,0.1176490000000001
1,4,0.999907,0.0033054284515738,0.42917781434821,0.0621949508786201,0.0186889397299493,0.03185568788514742,0.1428571428571429,0.0008436031417397,2.0,0.2621440000000001
1,5,0.996939,0.0051000196730753,0.79028463855195,0.1590341031551361,0.1194859391652156,0.2566063462232848,0.2857142857142857,0.0167622543088381,1.0,0.531441
1,6,0.998634,0.0225525806355428,0.83222787524755,0.1739442497491836,0.0766762558366178,0.2033372053185071,0.2857142857142857,0.037147847720555,1.0,0.531441
1,7,0.999121,0.0165923610409651,0.785941677762963,0.1692753285169601,0.0883367977982553,0.21893421090749315,0.2857142857142857,0.0267084418308386,1.0,0.531441
1,40,0.999979,0.0128175777896649,0.423283104950525,0.0709135755896568,0.0278221488746438,0.12056428197165903,0.2857142857142857,0.0192144007361398,1.0,0.531441
2,8,0.999789,0.0073476498028733,0.135985380823474,0.0969282016158104,0.0211346685915897,0.10477844294903207,0.4,0.0116819929552848,1.0,0.5397750937109538
2,4,0.999972,0.0112777124594568,0.785941677762963,0.1308305412530899,0.0581314021096637,0.17610564261772316,0.4,0.0088992931384235,1.0,0.5397750937109538
2,5,0.987026,0.0056572603724936,0.841338525411155,0.0414302572607994,0.008719108371467,0.01874376061312019,0.0,0.0003450655624568,2.0,0.2603082049146188
2,42,0.998282,0.004268571030104,0.785941677762963,0.0116879949346184,0.0002068444067608,0.0014730039277279132,0.0,0.0007763975155279,2.0,0.2603082049146188
3,9,0.999888,0.004478561756786,0.583161820052841,0.0531160347163677,0.0134579730800712,0.08328989823689058,0.4,0.0108908402386663,1.0,0.586181640625
3,10,0.997995,0.007773332656599,0.0958675824574886,0.0379384942352771,0.0060895113986843,0.014633348270090286,0.1999999999999999,0.0014703465927433,2.0,0.31640625
3,4,0.653622,0.0121747616245241,0.79028463855195,0.1338568180799484,0.0732810942830809,0.19859777132347822,0.4,0.0215439778154429,1.0,0.586181640625
3,24,0.855981,0.0040801267299257,0.814697958307135,0.0181845258921384,0.0004885878537655,0.01568619346060475,0.0,0.0067233203879166,1.0,0.5
4,10,0.075964,0.0063910075868521,0.485271802801548,0.0994655042886734,0.0402130938854652,0.026767814373038525,0.1428571428571429,0.0002281105678986,3.0,0.2291741901298116
4,5,0.5638,0.0022659343481241,0.83222787524755,0.0738594979047775,0.0269139774291756,0.010205774631917457,0.0,0.0,4.0,0.1348005719238558
4,11,0.00136552,0.0101354730714735,0.569318833502073,0.0632470101118087,0.0154625673865923,0.012190590531353573,0.1111111111111111,0.0001380262249827,3.0,0.2115596863110596
4,12,0.148339,0.0148120947405515,0.569318833502073,0.0252679586410522,0.006724067889156,0.002971914332298829,0.0,0.0,4.0,0.0792055328007454
4,6,0.99981,0.0292898661128623,0.496683305103468,0.3295052647590637,0.3636069664666728,0.47099856209863733,0.3846153846153846,0.0617629572719245,1.0,0.5865947039578859
4,7,0.406586,0.021988965204841,0.323201016590377,0.1742035001516342,0.1623020179501213,0.1528517420230655,0.2307692307692307,0.0036023201551151,2.0,0.3676663876548821
4,8,0.99312,0.0155464095169336,0.196328708456728,0.2570277154445648,0.222134152523993,0.3578167042950501,0.4,0.0303469546018115,1.0,0.5594245067186421
4,9,0.999812,0.0082661723729427,0.485271802801548,0.08131904900074,0.023898610844811,0.037860479249588394,0.1666666666666666,0.0020965347052303,2.0,0.3666478320532004
4,22,0.977931,0.0090294177871817,0.0955695746009095,0.0788606330752372,0.0211346685915897,0.10477844294903207,0.3333333333333333,0.0105578709305417,1.0,0.5625
4,23,1.33914e-09,0.0085779433896477,0.291130488606417,0.0806487426161766,0.0364253556753334,0.05102361751554676,0.1111111111111111,0.0017468682686073,2.0,0.2627814246559437
4,43,0.681057,0.0190320198933035,0.111803773664224,0.084568865597248,0.0442584016024556,0.1529835329811683,0.3333333333333333,0.016737651582372,1.0,0.6232675649015695
5,10,0.120825,0.0042528057865436,0.864809193268647,0.0861111655831337,0.0127351468921698,0.0052109049653301705,0.0,5.915409642117717e-05,4.0,0.1795664178369417
5,13,0.998243,0.0095592082012288,0.864977210886622,0.0865780413150787,0.0284862851278449,0.042855634933731825,0.3076923076923077,0.0021877156659765,2.0,0.4369596344452393
5,11,0.000888964,0.0075623973311207,0.0730599073724136,0.0414425693452358,0.0037357874339635,0.0017860688303112178,0.0,0.0,4.0,0.1169379422807256
5,12,0.342504,0.0238148971563149,0.216378677918197,0.0666756853461265,0.0376096541075091,0.025311209936010475,0.0769230769230768,0.0001756697408871,3.0,0.1572673339111652
