source,target,gloss_alpha,betweenness,pf_alpha,ecm_alpha,nc_alpha,mlf_score,lans_alpha,weighted_betweenness,weight,df_alpha
1,2,0.61773,0.0047857734194607,0.114513507690893,0,0.0,0.0,0.0,0.001539704268451,270.0,0.25
1,5154,0.787079,0.0031016537769657,0.529923955972982,0,0.0,0.0,0.0,7.392035238275115e-05,170.0,0.4694787379972565
1,5157,0.668103,0.0017656442984307,0.20827046496401,0,0.0,2.583970416420423e-299,0.0,0.0015033355256976,100.0,0.5
2,7365,0.727958,0.0006199155553316,0.519433861157942,0,0.0,2.79777169447944e-49,0.0,0.0020436232123394,16.0,0.5
2,8324,0.602369,0.0045347032720566,0.511440134334429,0,0.0,0.0,0.0,0.0005094272194899,254.0,0.25
5154,5152,0.77898,0.0031666111396127,1.2304163599377,0,0.0,0.0,0.0,0.0001175451889573,170.0,0.4530325443786982
5157,5156,0.639672,0.001704470386541,1.2304163599377,0,0.0,1.4330899333e-314,0.0,0.0015625318336841,100.0,0.5
7365,7366,0.775155,0.0006336501149648,0.56866620115792,0,0.0,1.8268465242788526e-54,0.0,0.0022050580588137,16.0,0.5
8324,7884,0.784528,0.0005280576797608,0.510922231186496,0,0.0,3.1732452341694472e-298,0.5,0.0003502874878495,100.0,0.5412844036697247
8324,8042,0.901529,0.0041905613384144,0.511089569374328,0,0.0,0.0,0.3333333333333333,9.298746023404594e-05,154.0,0.4856004712009423
5152,1532,0.914648,0.002972901937532,1.2304163599377,0,0.0,4.819215355010523e-241,0.6666666666666667,0.0005432448538317,90.0,0.589887341906685
5152,5148,0.816412,0.0029617303942213,1.2304163599377,0,0.0,0.0,0.0,0.0002409429207412,260.0,0.25
5156,1933,0.125612,0.0013374134968289,1.2304163599377,0,0.0,0.0,0.0,0.0014512893831554,190.0,0.25
5156,5155,0.916165,0.001917759424242,1.2304163599377,0,0.0,1.0562539132409628e-243,0.6666666666666667,0.0011830963874433,90.0,0.582409972299169
7366,8041,0.421311,0.000810825973922,1.2304163599377,0,0.0,0.0,0.0,0.0010011820547584,112.0,0.31640625
7366,9334,0.338537,0.0014197305816831,0.24871019326691,0,0.0,0.0,0.0,0.0032673607870732,128.0,0.25
7884,7885,0.69318,0.0003582628982764,0.509745894781288,0,0.0,0.0,0.0,0.0002953283149411,118.0,0.4587155963302752
8042,7287,0.729438,0.0006774152514059,1.2304163599377,0,0.0,0.0,0.0,0.0002607073904074,164.0,0.3472785372699074
8042,8043,0.908669,0.0045470926002626,0.572996640927668,0,0.0,0.0,0.0,0.000282405052953,322.0,0.2468847656249999
1532,1620,0.0183329,0.0032764393158003,1.2304163599377,0,0.0,0.0,0.0,0.0003611892833108,194.0,0.0663949572111092
1532,1531,0.717414,0.0014410585036407,1.2304163599377,0,0.0,0.0,0.0,0.0003686484065211,104.0,0.5
5148,5147,0.432566,0.0029836179184563,1.2304163599377,0,0.0,0.0,0.0,0.0001524927259866,260.0,0.125
1933,328,0.639672,0.000453423909744,1.2304163599377,0,0.0,1.4330899333e-314,0.0,0.000894097293025,100.0,0.5
1933,5161,0.720534,0.0008259984311616,1.2304163599377,0,0.0,2.652731137037586e-283,0.0,0.0007076986590491,90.0,0.5
5155,8376,0.143279,0.0028390966677486,0.108399493179204,0,0.0,0.0,0.25,0.0015476930335461,158.0,0.1697299283907456
5155,5153,0.769556,0.0036973712333056,0.28856667194145,0,0.0,0.0,0.0,0.000960955753611,248.0,0.25
8041,7287,0.623842,0.0007113205583944,0.275548186826373,0,0.0,0.0,0.0,0.0008145539092991,112.0,0.5
9334,9979,0.745012,0.0015303686471431,0.3252080367446,0,0.0,0.0,0.0,0.0034357339422378,128.0,0.5
7885,8945,0.677748,0.0002860921885357,0.509745894781288,0,0.0,0.0,0.0,0.0002802688306845,118.0,0.5
7287,7286,1.0,0.0001878992859827,1.2304163599377,0,0.0,0.0,0.0,0.0001878992859827,112.0,0.5064549220873706
7287,8040,1.0,0.0001878992859827,1.2304163599377,0,0.0,0.0,0.0,0.0001878992859827,164.0,0.3472785372699074
8043,8046,0.977688,0.0044883898005598,0.0053544690713782,0,0.0,0.0,0.0,0.0002806042705448,322.0,0.5
9979,9977,0.324458,0.0016997323852766,0.519433861157942,0,0.0,0.0,0.0,0.0036113455364942,135.0,0.25
8945,4731,0.677748,0.0002504354376345,0.302921932013826,0,0.0,0.0,0.0,0.0002857594515565,118.0,0.5
8046,8048,0.922325,0.0045060952209574,0.395590968128296,0,0.0,0.0,0.0,0.0003398711974493,322.0,0.25
3,4,0.606249,0.0011539460761184,0.511440134334429,0,0.0,1.7380009027075821e-87,0.0,0.0014883731424532,21.0,0.5
3,9899,0.606249,0.0013413775117696,1.2304163599377,0,0.0,1.7380009027075821e-87,0.0,0.0016740126230609,21.0,0.5
4,4588,0.606249,0.0009665146404672,0.512863677699765,0,0.0,1.7380009027075821e-87,0.0,0.0013029455185993,21.0,0.5
9899,4585,0.606249,0.0015288089474208,0.27264968693749,0,0.0,1.7380009027075821e-87,0.0,0.0018597933415046,21.0,0.5
4588,4589,0.606249,0.000779083204816,0.553817862915557,0,0.0,1.7380009027075821e-87,0.0,0.0011178003704174,21.0,0.5
4585,4584,0.606249,0.001716240383072,0.114513507690893,0,0.0,1.7380009027075821e-87,0.0,0.0020457859167022,21.0,0.5
4589,2564,0.606249,0.0005916517691649,0.3468774467489,0,0.0,1.7380009027075821e-87,0.0,0.0009327788053418,21.0,0.5
4584,5896,0.583704,0.0019036718187231,0.27264968693749,0,0.0,1.0421889102829662e-66,0.0,0.0022318491108177,21.0,0.5
2564,2565,0.606249,0.0004043968808086,1.2304163599377,0,0.0,1.7380009027075821e-87,0.0,0.0007478808233727,21.0,0.5
2565,4543,0.606249,0.0002179717647384,1.2304163599377,0,0.0,1.7380009027075821e-87,0.0,0.0005642186724681,21.0,0.5
5,6,0.457102,0.0346635031832701,0.511440134334429,0,0.0,0.0,0.0,0.0031623269164158,145.0,0.309381145777577
5,9966,0.756163,0.0345860939200592,0.521779604378236,0,0.0,0.0,0.0,0.0031540115388251,145.0,0.5
6,7527,0.828529,0.0360699123406658,0.511440134334429,0,0.0,1.0936466471800271e-222,0.5,0.0076162002810891,85.0,0.5319683975798049
6,7530,0.441702,0.001373024949769,1.2304163599377,0,0.0,0.0,0.0,0.000934508968832,139.0,0.3281265681408584
6,7268,0.667081,0.0011217085641906,0.567399297196295,0,0.0,2.9331326212277307e-243,0.0,0.0035305045301506,79.0,0.5
9966,9965,0.592848,0.0345142545698744,0.114513507690893,0,0.0,0.0,0.0,0.0031557417023153,145.0,0.3723624118395191
7527,7526,0.58356,0.0084716943961204,0.511440134334429,0,0.0,0.0,0.0,0.0035019303504679,137.0,0.3721018964004696
7527,10460,0.307197,0.014412959920727,0.509745894781288,0,0.0,0.0,0.0,0.0045811875039495,245.0,0.1234694048593273
7527,10450,0.987057,0.0468770729332408,0.226473089921234,0,0.0,5.192798344854901e-43,0.75,0.0089551585053972,21.0,0.8734002900468145
7530,7528,0.721422,0.0011976564863588,0.998143780387838,0,0.0,0.0,0.0,0.0008269916662261,139.0,0.5
7268,7267,0.588575,0.0009362120868917,1.2304163599377,0,0.0,5.217018071992629e-279,0.0,0.003435345538189,79.0,0.5
9965,10225,0.293754,0.0335595377079687,0.514119007143768,0,0.0,0.0,0.0,0.0027005498118247,186.0,0.25
9965,6596,0.695158,0.001519790638991,0.114513507690893,0,0.0,2.056682168854689e-130,0.0,0.0023513451473839,41.0,0.5
7526,91,0.719698,0.0083149630174819,0.551498535955505,0,0.0,0.0,0.0,0.0034167639353988,137.0,0.5
10460,1934,0.739891,0.0143090512179508,0.499999999999999,0,0.0,0.0,0.0,0.0045670107561674,139.0,0.5
10450,7373,0.190668,0.0503280271501078,0.404936439210523,0,0.0,0.0,0.0,0.0093758000902721,238.0,0.125
10450,9970,0.578272,0.0050874339633004,1.2304163599377,0,0.0,0.0,0.0,0.0025683041181104,115.0,0.4362151527689673
10450,10452,0.539357,0.0018481958897376,0.294209727912877,0,0.0,7.5505881374276e-311,0.0,0.0015647386748706,102.0,0.4850583090379009
7528,7529,0.721422,0.0010429109706911,0.548007575562709,0,0.0,0.0,0.0,0.0007425137856072,139.0,0.5
7267,7266,0.588575,0.0008056677561775,0.211809876301273,0,0.0,5.217018071992629e-279,0.0,0.0034139303513153,79.0,0.5
10225,1975,0.293754,0.0325468754054782,0.512638970590319,0,0.0,0.0,0.0,0.0035213270132697,186.0,0.25
10225,10224,0.295759,0.0018136754684354,0.0037081787795838,0,0.0,0.0,0.3333333333333333,0.0011586534144617,137.0,0.260829081632653
10225,9964,0.635514,0.0014880024673288,0.0390602588147827,0,0.0,0.0,0.0,0.0004693333288137,139.0,0.4846501253490509
6596,6597,0.559901,0.0013374147612351,0.0470460305993128,0,0.0,2.4600266561964225e-157,0.0,0.0022569099993315,41.0,0.5
91,90,0.719698,0.0081737650959852,0.133788071754569,0,0.0,0.0,0.0,0.0033403013019692,137.0,0.5
1934,1935,0.369596,0.0142291306535399,1.2304163599377,0,0.0,0.0,0.0,0.0045719717351547,139.0,0.2641816225732308
