source,target,gloss_alpha,betweenness,pf_alpha,ecm_alpha,nc_alpha,mlf_score,lans_alpha,weighted_betweenness,weight,df_alpha
91,92,0.244063,0.0281803888917123,0.318887617822696,0.0027743689715862,0.0,4.566834733507e-312,0.0,0.0184832473171131,178.0,0.369578295716975
91,93,0.0324161,0.0530169260086008,0.0230068280161079,0.001783552695997,0.0,0.0,0.0,0.256205455885967,227.0,0.0753609931138777
91,94,0.761485,0.0248126437223881,0.379144836166658,0.0028135068714618,0.0,3.096550446462797e-87,0.0,0.2503174408126484,49.0,0.5
92,124,0.473305,0.0245369875646049,0.150710579383783,0.0021462943404912,0.0,0.0,0.0,0.0122573113787171,178.0,0.5
93,125,1.0,0.012738592610797,0.209989534387808,0.0039548962377011,0.0,1.629036586504988e-97,0.0,0.012738592610797,53.0,0.5
93,126,0.733194,0.0651665464449624,0.359752058200541,0.0262261591851711,0.0,1.1825104445884522e-25,0.5,0.2601990661096092,25.0,0.609414881489341
93,127,0.408064,0.0042620695775647,0.405991371784286,0.0033925869502127,0.0,1.0170415434170356e-160,0.0,0.0063692963053985,88.0,0.4674356878627079
94,148,0.69335,0.0208292735249604,0.386808307141316,0.001664851559326,0.0,9.448127089211167e-120,0.0,0.2504812812320799,49.0,0.5
124,123,0.870296,0.0248394096721388,0.225168191502092,0.0025033762212842,0.0,4.004010502e-314,0.0,0.0067686573277627,178.0,0.5
125,417,1.0,0.0063897763578274,0.340734198549029,0.000813573540654,0.0,1.6206050909025865e-143,0.0,0.0063897763578274,53.0,0.5
126,206,0.496722,0.0372080048397939,0.30675830493756,0.0089575564488768,0.0,9.713508902805138e-87,0.25,0.0614401572868026,71.0,0.2209970691248513
126,178,0.989524,0.0872282553185413,0.120863177767135,0.1033445671200752,0.9326733395881536,0.7920492894112938,0.75,0.2614483493077742,2.0,0.9623700255268388
126,199,0.540017,0.0052958814939645,0.505730391805587,0.0467972420156002,3.3306690738754696e-16,3.508797499837286e-23,0.375,0.0,29.0,0.5611018599834734
126,204,0.932918,0.0013454256665119,0.405678025057155,0.082090213894844,0.0892583094271479,0.05284758477798521,0.5,0.0060211354141066,3.0,0.9440147443388353
126,201,0.889855,0.0026892321835796,0.505730391805587,0.0716525763273239,0.1591073848420841,0.1504691726767742,0.4,0.0398541820267059,2.0,0.9623700255268388
126,205,0.00766501,0.001008642582125,0.505730391805587,0.0009836512617766,0.0,6.845707106919497e-270,0.0,0.0,146.0,0.0283524875229677
126,207,0.327354,0.0084765230332323,0.505730391805587,0.0029686586931347,0.0,2.005651735712265e-163,0.0,0.0063692963053985,88.0,0.1458632794730214
127,207,0.365482,0.0030076663662925,0.505730391805587,0.0015744507545605,0.0,2.675943310643789e-191,0.0,2.0480052428934218e-05,88.0,0.5
148,146,0.69335,0.0203162969736452,0.505730391805587,0.0016648351447656,0.0,9.448127089211167e-120,0.0,0.2506041615466535,49.0,0.5
123,122,0.989642,0.0265258632202291,0.132608547693252,0.0026477428618818,0.0,0.0,0.0,0.0065228966986155,264.0,0.4027149321266968
206,187,0.219427,0.0277832797601168,0.421969184515823,0.0036714668385684,0.0,0.0,0.0,0.000614401572868,245.0,0.2296051686263661
206,210,0.502867,0.0315392807405586,0.324332680119919,0.003897535149008,0.0,1.7463847808343995e-115,0.0,0.0315392807405586,71.0,0.5
206,211,0.467559,0.0253133448021626,0.337197634122109,0.0034670429304242,0.0,0.0,0.0,0.0253133448021626,245.0,0.2296051686263661
178,151,0.158577,0.1206344045132752,0.182394753599073,0.0159007143229246,0.0,1.2169276034696495e-166,0.1999999999999999,0.2429343819120177,184.0,0.1871462442866629
178,176,0.370247,0.0045497337829606,0.263029897365509,0.0232182834297418,0.0,2.6430799722474467e-118,0.3,0.0,135.0,0.3017303012837514
178,182,0.557964,0.0076913250635295,0.182394753599073,0.0440383329987525,0.0,8.806319105443773e-47,0.4,0.0,73.0,0.5336251064116881
178,418,0.999076,0.0038797021225136,0.423661518575735,0.0017146030440926,0.0,0.0,0.0,0.0062668960432538,420.0,0.0120771829721959
178,199,0.0212958,0.0224083881493564,0.402054540860744,0.0094625419005751,0.0,4.1301719391588768e-227,0.0,0.0,205.0,0.1164158389284731
178,205,0.819678,0.0065070902991768,0.335370975278253,0.0514780096709728,9.0238883546645e-06,4.491566043149949e-09,0.4,0.0,16.0,0.7981875004159589
178,184,0.72173,0.0089887956608895,0.0256849291481873,0.0499202683568,7.563719782721634e-07,1.0960777713471374e-10,0.6,0.0570164659621528,18.0,0.7794119660118843
178,179,0.951221,0.0012851232899156,0.404296056520537,0.0383552759885787,0.0009331657437888,1.241364855812946e-08,0.5,0.0154829196362742,27.0,0.7967446467118109
178,204,0.980626,0.0091114702997229,0.335370975278253,0.0771538689732551,0.7281548051208201,0.4499940052921224,0.5,0.0064716965675432,3.0,0.9522382319697285
