source,target,gloss_alpha,betweenness,pf_alpha,ecm_alpha,nc_alpha,mlf_score,lans_alpha,weighted_betweenness,weight,df_alpha
1,2,0.510207,0.0077243018419489,0.0336887733908252,0.2431496381759643,0.6412365544172107,0.05181113899403621,0.0,0.0,12.0,0.1293369914320993
1,3,0.0961659,0.0065359477124183,0.0092610673528441,0.2808319628238678,0.775355455347086,0.06524049300008719,0.0,0.0,14.0,0.0895313679019619
1,4,0.544261,0.0077243018419489,0.0369738469472237,0.2550142109394073,0.6714933802384412,0.05901816606738908,0.0,0.0,12.0,0.1293369914320993
1,5,0.999137,0.010780069603599,0.0336887733908252,0.3402596116065979,0.616615176813335,0.1732113971213028,0.1818181818181817,0.0,6.0,0.2630755761638284
1,6,0.999662,0.0077243018419489,0.0369738469472237,0.2271533161401748,0.6618628851187459,0.12933574494884456,0.0,0.0,8.0,0.1542100728440799
1,7,0.999779,0.0077243018419489,0.0418001876908772,0.4087771773338318,0.930194893630374,0.4868884757259403,0.1999999999999999,0.0005446623093681,6.0,0.2957741040952123
1,8,0.999362,0.0071301247771836,0.283015455344317,0.3051571249961853,0.8465412939884871,0.3512587826902985,0.0,0.0,6.0,0.2172426353905644
1,9,0.999764,0.0065359477124183,0.283015455344317,0.4180693030357361,0.9651381511454198,0.5885252040451143,0.0588235294117647,0.0,6.0,0.2872550840074469
1,10,0.999723,0.0065359477124183,0.0914383748782113,0.5684658288955688,0.9916997710812564,0.840954672273803,0.4117647058823529,0.0021786492374727,4.0,0.4210197474577429
1,11,0.999007,0.0071301247771836,0.0914383748782113,0.5216728448867798,0.9759176924018268,0.7531123939496531,0.3125,0.0039116656763715,4.0,0.3914860663054015
1,12,0.999709,0.0071301247771836,0.0861265743482144,0.5763598680496216,0.9896760223301126,0.8258261068051409,0.3125,0.0039116656763715,4.0,0.4345050258708097
1,13,0.999937,0.0065359477124183,0.0861265743482144,0.6551005244255066,0.9986591763643916,0.9264884416826148,0.4117647058823529,0.0021786492374727,4.0,0.4910407301659105
1,14,0.999826,0.0065359477124183,0.0861265743482144,0.6255032420158386,0.9973038614568284,0.90095834688603,0.3529411764705882,0.0065359477124183,4.0,0.4667092604458169
1,15,0.999677,0.0065359477124183,0.0861265743482144,0.8010622262954712,0.9983526294723772,0.9684772728679155,0.5882352941176471,0.0268865121806298,2.0,0.6202408489085149
1,16,0.0362254,0.0071301247771836,0.596903929045563,0.356894850730896,0.8659983385906674,0.5118449901249111,0.0,0.0033670033670033,4.0,0.2711262620872779
1,17,0.212908,0.0098463627875392,0.352902995485955,0.6024715900421143,0.8095396270108794,0.6395161219556804,0.1666666666666666,0.0313923549217666,2.0,0.4425562545486085
1,18,0.212908,0.0098463627875392,0.134669069175734,0.6024715900421143,0.8095396270108794,0.6395161219556804,0.1666666666666666,0.0313923549217666,2.0,0.4425562545486085
2,3,0.594859,0.0077243018419489,0.134669069175734,0.3228631913661957,0.8056300069432896,0.10812693372201763,0.0,0.0,12.0,0.1348743316197473
2,4,0.549424,0.0065359477124183,0.134669069175734,0.2280556559562683,0.5220677395596859,0.030867444453802236,0.0,0.0,12.0,0.1348743316197473
2,5,0.999548,0.0089126559714795,0.616087117160017,0.1210433468222618,0.5065239733933581,0.123181160157933,0.1818181818181817,0.0009337068160597,6.0,0.2630755761638284
2,6,0.999733,0.0065359477124183,0.26866025029511,0.204041451215744,0.5378354824589163,0.08358790798742546,0.0,0.0,8.0,0.1542100728440799
2,7,0.999852,0.0065359477124183,0.209329172639351,0.2579982578754425,0.6759376222721392,0.1358176616549747,0.0,0.0,8.0,0.1922492639544075
2,8,0.999574,0.0083184789067142,0.528140447742485,0.4715055525302887,0.933883057231039,0.6294255544730232,0.125,0.0065359477124183,4.0,0.3677431238823263
